"Type","Strength_(Chla)","Strength_(Composition derived Biomass)"
"BD<->NO3",0.907333009117738,0.907333009117738
"BD<->NO3",0.431973378053324,0.418965191777255
"BD<->NO3",0.607536305785207,0.597439371614185
"BD<->NO3",0.818147959952976,0.663934903573562
"BD<->NO3",0.77602765311706,0.795822906486423
"BD<->NO3",0.506502884039802,0.456549995075256
"BD<->PO4",0.76138759350594,0.76138759350594
"BD<->PO4",0.738951406836022,0.823186077826307
"BD<->PO4",0.207566230175686,0.207566230175686
"BD<->PO4",0.682292232502358,0.706677544073633
"BD<->PO4",0.455441465682148,0.470646008114589
"BD<->PO4",0.316096205027196,0.429578849033234
"BD<->PO4",0.867903417082072,0.867903417084149
"BD<->PO4",0.379073356571905,0.557750901755393
"BD<->PO4",0.986435792658615,0.822800041432783
"BD<->PO4",0.255493440801708,0.255493440801707
"BD<->PO4",0.825225155296753,0.825225155296753
"BD<->PO4",0.212141354226912,0.212141354226913
"BD<->PO4",0.25827330800528,0.258273308005279
"BD<->PO4",0.355765317886524,0.355765317886524
"BD<->PO4",0.477782167036125,0.463394522463679
"BD<->PO4",0.685177076022692,0.673789793046816
"BD<->PO4",0.519427844535945,0.421520669556172
"BD<->PO4",0.902706664304449,0.925733301391857
"BD<->PO4",0.850522441119873,0.766641273999457
"NO3<->EF",0.594773270604126,0.668335825726389
"NO3<->EF",0.85459803775151,0.993923084847453
"NO3<->EF",0.645447479389702,0.508062771413444
"NO3<->EF",0.958163151756178,0.987659447285723
"NO3<->EF",0.364246140637657,0.591313276200017
"NO3<->EF",0.511882907908539,0.0994806237073708
"NO3<->EF",0.526734614640107,0.55658748170621
"NO3<->EF",0.627864481361133,0.330647860616633
"NO3<->EF",0.370462332439358,0.503294414249417
"NO3<->EF",0.235924327575113,0.717234155484107
"NO3<->EF",0.680766415666979,0.632098312413194
"NO3<->EF",0.884811094126625,0.725398662398236
"NO3<->EF",0.491788867149389,0.670907358787106
"NO3<->EF",0.484546151198404,0.518794233526711
"NO3<->EF",0.550060195690529,0.462227458358407
"NO3<->EF",0.334913605783842,0.323946509067719
"NO3<->EF",0.861805614626908,0.609979583802157
"NO3<->EF",0.850028418227433,0.664120674008766
"NO3<->EF",0.201304116834491,0.405624395215921
"PO4<->EF",0.451438567865175,0.626784019750354
"PO4<->EF",0.70877909800494,0.543425848697716
"PO4<->EF",0.386726046713066,0.368000364282225
"PO4<->EF",0.774220499516772,0.75628145137848
"PO4<->EF",0.89297923111469,0.838865654920498
"PO4<->EF",0.506751144874005,0.243124863709576
"PO4<->EF",0.59260275817552,0.554130601339269
"PO4<->EF",0.53514835023261,0.572081302347019
"PO4<->EF",0.738413127481765,0.457118119608276
"PO4<->EF",0.302304466645291,0.542619828168875
"PO4<->EF",0.527970788055817,0.826226070191687
"PO4<->EF",0.276377532212522,0.496531700691297
"PO4<->EF",0.236469683769415,0.285792152218399
"PO4<->EF",0.297546744109036,0.387142280619539
"PO4<->EF",0.435060278844662,0.599074782140385
"PO4<->EF",0.651544021590658,0.945795124025249
"PO4<->EF",0.374189927898465,0.386123911766321
"PO4<->EF",0.585005740690458,0.691573427938599
"PO4<->EF",0.683646884710722,0.765541346621818
"Type I-N",0.468273637929531,0.578157464538066
"Type I-N",0.691169306116305,0.811615540059328
"Type I-N",0.761768211051533,0.626643423255641
"Type I-N",0.767037894921955,0.794874070608233
"Type I-N",0.360947445091034,0.646828604778707
"Type I-N",0.388173810590579,0.284107394867573
"Type I-N",0.510434718323158,0.650154487998598
"Type I-N",0.535124279865913,0.678369472039658
"Type I-N",0.612120644437405,0.560622303244131
"Type I-N",0.388074509911135,0.5993490475832
"Type I-N",0.753352227240147,0.72768258295175
"Type I-N",0.826926403488442,0.792252506806921
"Type I-N",0.65043661174162,0.724504186511365
"Type I-N",0.645414102053003,0.672032732016822
"Type I-N",0.571138917392954,0.525071447433873
"Type I-N",0.491299016328785,0.486863624824559
"Type I-N",0.775385577183222,0.665450063624661
"Type I-N",0.774067574869719,0.832178296261608
"Type I-N",0.291227397074297,0.416242446049684
"Type II-N",0.406409375012344,0.437660848929785
"Type II-N",0.838848308738817,0.900286305614551
"Type II-N",0.702720480790933,0.665399667857228
"Type II-N",0.716620924482899,0.746142285832779
"Type II-N",0.326437273592094,0.42229223174488
"Type II-N",0.267947572892988,0.210594248073964
"Type II-N",0.662393229418522,0.741379186980361
"Type II-N",0.468298815877293,0.405349876936673
"Type II-N",0.531000851124086,0.636294489930532
"Type II-N",0.283926981508998,0.809284299070698
"Type II-N",0.790323156783306,0.811256878968028
"Type II-N",0.803428206433255,0.69038063891607
"Type II-N",0.538546072419587,0.548126522124563
"Type II-N",0.750610583245318,0.591103828077806
"Type II-N",0.612906455420856,0.596402476717786
"Type II-N",0.483362342640549,0.619178403235042
"Type II-N",0.818151008735481,0.771985561592032
"Type II-N",0.900113562306618,0.679586027021115
"Type II-N",0.72276491063438,0.600037126651576
"Type I-P",0.463838653022161,0.637970745732178
"Type I-P",0.690023835218411,0.656569837772227
"Type I-P",0.292581547084594,0.2709220557924
"Type I-P",0.726357774037474,0.751451196188592
"Type I-P",0.479034498161655,0.629745318122649
"Type I-P",0.551272445593416,0.484574969816786
"Type I-P",0.561297010268388,0.638990153595354
"Type I-P",0.500269987385423,0.669413909255023
"Type I-P",0.81129607541714,0.612316361279858
"Type I-P",0.293252711593682,0.447425761577377
"Type I-P",0.648472194370092,0.762961831526627
"Type I-P",0.344450167723519,0.437649325286807
"Type I-P",0.334198189775887,0.446011761757538
"Type I-P",0.367390214212348,0.463039550804366
"Type I-P",0.637976394010489,0.629927570749109
"Type I-P",0.714356678116464,0.900746404388653
"Type I-P",0.424916162467795,0.540606696554186
"Type I-P",0.703317383490491,0.782824694069892
"Type I-P",0.984884494407359,0.939992314357287
"Type II-P",0.557461473298049,0.620514703831017
"Type II-P",0.702694975269028,0.704972547188666
"Type II-P",0.501929867043914,0.479147020335734
"Type II-P",0.653234267062304,0.657304283991048
"Type II-P",0.455093708790208,0.55728864275928
"Type II-P",0.274070698192355,0.327616228613351
"Type II-P",0.611037239399468,0.70529645238032
"Type II-P",0.50282340158882,0.66104800366408
"Type II-P",0.904338270758787,0.778690172180764
"Type II-P",0.200896918753905,0.407939146730481
"Type II-P",0.703242420301715,0.839317329220742
"Type II-P",0.333489714912182,0.364557673200375
"Type II-P",0.288336758845501,0.225932640987488
"Type II-P",0.510352426232067,0.378109582765823
"Type II-P",0.50188719894641,0.632022769325561
"Type II-P",0.561303787342932,0.740724701086591
"Type II-P",0.632361427085654,0.517503243784781
"Type II-P",0.854126608978283,0.820924987740815
"Type II-P",0.682180571099138,0.573278707169363
