"","CCM_skill_MonthlyMean","CCM_skill_RawData","StandardizedLinkageStrength_MonthlyMean","StandardizedLinkageStrength_RawData"
"Bw",0.191712630643831,0.238392635365035,0.561775576454729,0.6577976888909
"Bw",0.208670487941418,0.25934813200606,0.611467190548157,0.715620269017673
"Bw",0.148552019173891,0.223475004463453,0.43530202430933,0.616635414243605
"Bw",0.309522549687176,0.228953562922151,0.906994015951373,0.631752421054938
"Bw",0.340181362861623,0.362410265939037,0.996833544972762,1
"Bw",0.138845953601198,0.215876513255021,0.406860337583237,0.595668869080365
"Bw",0.0759549439368359,0.104700941572917,0.222570793960756,0.288901699022316
"Bw",0.131204959252813,0.319379032665925,0.384469929656875,0.881263757356281
"Bw",0.154846421526788,0.325205923755019,0.453746513325842,0.897341919695297
"Bw",0.341261953489857,0.264681918544447,1,0.730337806128732
"Bw",0.201895366535179,0.320925176484924,0.591614050352027,0.885530037769152
"Bw",0.288615845519216,0.305645067231005,0.845731094743306,0.843367575250805
"Ks_3",0.424594234472315,0.448815367579448,0.763104767404755,0.738974764858503
"Ks_3",0.556403593069295,0.607348706508788,1,1
"Ks_3",0.0779838918971129,0.0699403300748779,0.140157060214025,0.115156794318234
"Ks_3",0.353994155684236,0.403978426192894,0.636218313637218,0.665150714677694
"Ks_3",0.400495149673666,0.380725052325565,0.719792529491786,0.626864021023573
"Ks_3",0.253769946851728,0.277788198180435,0.456089698220412,0.457378430551437
"Ks_3",0.29349037342047,0.110321627743753,0.527477494890869,0.181644624515482
"Ks_3",0.140909610213553,0.230004642700277,0.253250719385638,0.378702778544485
"Ks_3",0.456748080159713,0.454970242581612,0.820893477053497,0.749108770144435
"Ks_3",0.411093013827794,0.403632924893567,0.738839610219045,0.664581846586556
"Ks_3",0.242078675693824,0.227228049030182,0.435077484597902,0.374131115444953
"Ks_3",0.279668524860287,0.198595442667318,0.502636087084823,0.326987512345092
"Ks_9",0.333500172484802,0.369351258947294,0.52060724110714,0.585848440230448
"Ks_9",0.428632027464834,0.435413197574287,0.669111909616169,0.690632931323102
"Ks_9",0.376856872589346,0.471174479025573,0.588288801379692,0.747355875813913
"Ks_9",0.422850473593032,0.411962309510374,0.660086670474356,0.653436181991803
"Ks_9",0.611610040682826,0.578806281812463,0.954747979711532,0.918076625383332
"Ks_9",0.417980135078265,0.481573413813661,0.652483875313743,0.763850200871916
"Ks_9",0.134023610597572,0.157180034039598,0.209216270074341,0.249311936934828
"Ks_9",0.190900229828276,0.231232293814153,0.298002970244781,0.366770317902886
"Ks_9",0.428416574130395,0.431378555827495,0.668775578257795,0.684233363115366
"Ks_9",0.640598413067727,0.630455308205662,1,1
"Ks_9",0.253815977594174,0.392706153567223,0.39621699401141,0.622892929056149
"Ks_9",0.500160869480766,0.494738195788353,0.780771321436113,0.784731588978807
"Mu",0.161528922380478,0.230260409536143,0.389751514692962,0.517595667327325
"Mu",0.375806544261312,0.444865411499913,0.893042178528863,1
"Mu",0.308661610262843,0.398640332992877,0.745745108712568,0.896091992517056
"Mu",0.190119492102537,0.131083822834973,0.45353895593263,0.294659507002375
"Mu",0.254169398384563,0.273471578938952,0.593684576318366,0.614728796327212
"Mu",0.184866600241007,0.233265679182511,0.438052400675412,0.52435112542472
"Mu",0.103143445934657,0.111554270200742,0.236663686404036,0.25075959451337
"Mu",0.179039369479147,0.170055077290475,0.416117649471573,0.382261854696941
"Mu",0.333043590942286,0.406351722092064,0.772042441640864,0.913426199447612
"Mu",0.296850330834828,0.200783860933023,0.71392485534862,0.451336192346486
"Mu",0.215728968972856,0.373954566129853,0.524330896711917,0.840601576258813
"Mu",0.170027943640371,0.297943402434848,0.399495222567205,0.669738295522457
"Sh",0.452070227076519,0.303706590626969,0.787919331715585,0.75205604593629
"Sh",0.487879997567115,0.403835049619025,0.829148237722032,1
"Sh",0.194967877922547,0.318852014168452,0.325504685442509,0.78956003068395
"Sh",0.333177650974161,0.268273857630982,0.579946362658772,0.664315437414532
"Sh",0.229532748242839,0.290790603984836,0.391363054560455,0.720072723403195
"Sh",0.249701358666848,0.216525585392255,0.418586713408967,0.536173335119187
