"","Gv","Bw","Ks_3","Ks_9","Me","Mo","Mu","Ng","Wc","Ft","Sh","Ib_a","Ib_b","Ib_c","Vo","Od","Mg","Kn","Wd"
"BD->EF",0.117589105663274,0.110971458780797,0.0585398180516031,0.0451619399122695,0.242949869896296,0.164807417481791,0.144483426851659,0.11440794380354,0.146709307003782,0.0971422852049951,0.0991261554453754,0.04138546699572,0.0427746538781325,0.0899467843020983,0.0696948441449772,0.259310257843982,0.195379060925443,0.068051715163298,0.161587974850358
"Temp->EF",0.139964629370228,0.112252126991729,0.0668268707025161,0.0603725701844433,0.265470179345654,0.151835327274316,0.127879361208735,0.0869646847558784,0.170346353247966,0.0802710947553029,0.093510405776535,0.0534920615776353,0.0570456549772763,0.0675123086901763,0.151674613971538,0.222138240651372,0.217468778191845,0.10498611783099,0.139892822578883
"NO3->EF",0.116174394050716,0.117333568587188,0.0648289352974328,0.0168925442561539,0.252606698047859,0.185566798083939,0.177662797546685,0.170520934219794,0.211793807442581,0.106467452205986,0.092388804835036,0.0412867509682865,0.048175766092051,0.129877858755114,0.196504800110794,0.120020806080645,0.123450372813947,0.113461454893708,0.112227871580017
"PO4->EF",0.102294274717951,0.0837097465591418,0.0722472417138367,0.0667761667246432,0.371359302249218,0.229066033655111,0.164759159029824,0.168600258918224,0.245061610196206,0.107475014866409,0.0924661893446861,0.0699100621260093,0.0582801304178666,0.0913822015674799,0.187367145846756,0.136323400324357,0.121621299254591,0.0897032406382718,0.163407598696748
"EF->BD",0.14087121059525,0.112241582174811,0.0401888523557435,0.0621784544508179,0.214465601296834,0.157848863281698,0.139614369723617,0.117826202103662,0.191942218682228,0.109315017907882,0.100862220657267,0.0606339219884541,0.0506864375531576,0.0962489836981327,0.197442255709755,0.245327795705786,0.142842655320859,0.0951328972879373,0.165870696009919
"Temp->BD",0.0445318393060359,0.104658795726365,0.0716218964435418,0.0573582418329497,0.245984600473951,0.112740242300886,0.107371530234507,0.123507209202792,0.169864034203996,0.094626122748133,0.111524227838933,0.0687071233187136,0.0607725247952167,0.084207051147639,0.127901114770455,0.237311149576163,0.162334749704104,0.122575482935504,0.173217883274773
"NO3->BD",0.101807880427716,0.0813561790618468,0.0537823142453934,0.0651773928863664,0.189310327261737,0.127006292091644,0.113713966455075,0.125865657069728,0.211776020222124,0.0123066864357873,0.0897674411803583,0.0484645319116599,0.0353131378866836,0.0896661024029724,0.162498272467875,0.131519714184404,0.129298802093026,0.108610311004834,0.205331493134403
"PO4->BD",0.125846772098418,0.0918433024131103,0.055577686590317,0.0641644114963215,0.22592628343286,0.166313609394329,0.110756968505413,0.127226878057164,0.153648983135986,0.123056386210112,0.104495083177879,0.0637697300420072,0.0550780730365071,0.0900720477918046,0.185674418286423,0.121309575113986,0.143374717262589,0.0792390127897239,0.197128474017137
