System,Latitude,Longitude
Gv,46.421562,6.473468
Bw,35.298679,136.146106
"Ks3, 9",36.007808,140.424548
Me,43.104514,-89.407125
Mo,43.069513,-89.357858
Mu,52.434983,13.658983
Ng,41.586796,-71.350809
Wc,50.25,-4.217
Ft,24.910112,121.582696
Sh,35.763808,140.144957
"Iba, b, c",35.802489,140.252528
Od,43.213995,-75.953637
Kn,32.833,35.583
Mg,45.966667,8.65
Vo,58.3103994,26.0113726
Wd,54.35555591,-2.935752869
