"system","BD->EF","Temp->EF","NO3->EF","PO4->EF","EF->BD","Temp->BD","NO3->BD","PO4->BD"
"Gv",0.393403970046025,0.205076305949923,0.560899905974069,0.463840502251434,0.524204519185761,1,0.0623892636873892,0.691422315303504
"Gv",0.52733929742968,0.339179238594817,0.567226609825399,0.448141361974905,0.358783964345383,0.931950434115008,0,0.784807739110968
"Gv",0.412361711008921,0.402471710443964,0.386505685711229,0.199017077293233,0.301391455749253,1,0.429632085024828,0.696796613420685
"Gv",0.519789069049369,0.587651247605256,0.442882381057269,0.480698896675805,0.488003159308756,1,0.308385958646901,0.831037996649088
"Gv",0.428934517951262,0.299707980099334,0.59917859615025,0.375576070050081,0.302620718784475,1,0.0537286254387385,0.729697234494824
"Gv",0.300103654432516,0.374660430046379,0.671084052348895,0.237293541552834,0.516087037763436,0.989654954054827,0.286113392437512,0.815487830069315
"Gv",0.495632427651975,0,0.465747906596163,0.34396888063382,0.288646336132145,0.949233538086705,0.121526502573499,0.771548908898371
"Gv",0.34013841454081,0.240769091979039,0.472409364702167,0.30341454028891,0.133942093225482,1,0,0.642604440435431
"Gv",0.224927597659442,0.355991669837383,0.339262431417193,0.389077505088363,0.377557313550076,1,0.214974532449305,0.84549474534068
"Gv",0.427158773852485,0.352351546673348,0.478934272212201,0.344933372761719,0.301806217217742,0.948048534345775,0.165256233885654,0.897139338338487
"Gv",0.385979948888587,0.291549513838576,0.542028901141994,0.461259352925551,0.0580297829390051,0.9961128159861,0.0226652065982558,0.794732314050265
"Gv",0.418505094487124,0.253334438902091,0.533108719308997,0.214040984068198,0.114203423689637,1,0.220552564854202,0.511233368810058
"Gv",0.335494361250152,0.276534439943832,0.516414073971051,0.449454809498915,0.249927485302888,0.831263218642162,0.281006091496894,0.86346226773911
"Gv",0.525820039248745,0.468722323457029,0.470361897962373,0.373714047292884,0.479095106829215,0.966960684349618,0.211825382099703,0.888757591408059
"Gv",0.296501448660696,0.42625199550304,0.580716907294064,0.434794205909648,0.542355015765377,1,0.122369346275,0.705112199730932
"Gv",0.476124111215117,0.47854014746803,0.540625728696896,0.293357343411137,0.261883689605647,1,0.232621812625462,0.78906406976192
"Gv",0.533018355988806,0.297453691274045,0.52766604808991,0.425024927721373,0.313378030211305,0.864325384419396,0.1034213877739,0.6370588663363
"Gv",0.514986487580347,0.168418166569961,0.541287666459034,0.404744207292305,0.42344930247697,1,0.131699944685606,0.869308352228537
"Gv",0.157751660930925,0.408686944861757,0.421260486794352,0.406229116713279,0.165970997652904,1,0.19917109630635,0.686503619882267
"Gv",0.42405719337169,0.434864783410542,0.342977350549994,0.299451350820893,0.504230989605708,1,0.10139143880881,0.673706152448082
"Gv",0.486530617800369,0.0596642037730063,0.572309679970205,0.501407456162341,0.412937361356405,1,0.243743643996156,0.752435653147937
"Gv",0.312885890763367,0.339168503847875,0.391696086206005,0.224259860882945,0.373637252051999,1,0.140834550326471,0.679439555113453
"Gv",0.241094950256166,0.309424094672133,0.430468819401046,0.26613446764748,0.526116595410482,1,0.23521234660519,0.598450091611261
"Gv",0.182608940993763,0.31411451887488,0.427970917906764,0.347834572645496,0.403788006909934,1,0.0983482288640082,0.72820245643019
"Gv",0.385872437799203,0.338869204668769,0.58413899656887,0.316795785904228,0.281488915330933,1,0.220030802270564,0.817922711209355
"Gv",0.254542096679515,0.167411032008882,0.642538281224517,0.314073236199568,0.308952773298774,1,0.184937802467655,0.600901959648064
"Gv",0.0826726777013935,0,0.550751488362407,0.363199293514602,0.398683380002461,1,0.0998277325369177,0.563084511528064
"Gv",0.17697232858408,0.229771539065887,0.424878149221808,0.37597108865295,0.398399833202936,1,0.0887324912871258,0.959611891899757
"Gv",0.206595589039049,0.198445223254215,0.401739905769868,0.405529526525094,0.223181187184901,1,0.246943827228863,0.651431489153959
"Gv",0.211531838188237,0,0.52057853153116,0.342449053835429,0.324415156270553,1,0.0626160326277441,0.824226729117728
