"system","BD<->EF","BD<->NO3","BD<->PO4","EF<->NO3","EF<->PO4","Type I-N","Type II-N","Type I-P","Type II-P"
"Gv",0.454119080158218,0.169293475828835,0.806843300522649,0.626054778190162,0.534196737725036,0.25788691096193,0.513080572212572,0.551068146791137,0.611741781945196
"Gv",0.434972279216652,0,0.885893751592688,0.617697375087899,0.535531495255513,0,0.474512497931502,0.642198774874491,0.543770969446049
"Gv",0.352536943278618,0.481095069063696,0.685063346294125,0.450456259904083,0.321137103459967,0.453079906373516,0.397390343042535,0.530019275336118,0.343130168915296
"Gv",0.50364541879208,0.431321660807786,0.895623298552066,0.53620477359553,0.591025406025746,0.470361278514382,0.507075926639124,0.679614129251168,0.609502111432334
"Gv",0.36028387714951,0.148218990811373,0.780412054576394,0.595571325105417,0.484663013896205,0.238947595729339,0.420099638497156,0.580637632994742,0.456072552858381
"Gv",0.39354746351369,0.404652781316079,0.903043647931436,0.711761084650973,0.377470488133417,0.401698623670397,0.583054181248991,0.527703067266978,0.496595702035591
"Gv",0.378236016674804,0.256690595661277,0.878378568100549,0.475719523403971,0.456770513318184,0.308172525244205,0.417723228215175,0.614421938364883,0.463050546160315
"Gv",0.21344519490959,0,0.728904066489347,0.410755436592847,0.455751267791953,0,0.264079201353413,0.530892099338404,0.322688507500182
"Gv",0.291415613026432,0.316896101861139,0.893000591687662,0.465001348887173,0.417513045061835,0.313521603023148,0.391130616751413,0.44003363902802,0.51745254825725
"Gv",0.359053162759761,0.25136857868967,0.947174397003259,0.624797636113712,0.445268435846049,0.386055733979616,0.380910322455072,0.603929084915797,0.470422189566978
"Gv",0.1496607251513,0.0672126120576012,0.891477601541545,0.614885648789965,0.524666126382094,0.182738574219006,0.184390447499837,0.567808854866609,0.299133723658182
"Gv",0.218620023378428,0.282626454581385,0.640439143145463,0.526619052217686,0.305036986856398,0.363465675175966,0.280416010298254,0.453081158783554,0.269673042600961
"Gv",0.289567370469376,0.370407029880009,0.9292267041681,0.673507741353596,0.546781723881101,0.435875733533079,0.397940613575208,0.577595116123375,0.482502999142466
"Gv",0.501914143929835,0.347465835290717,0.942739408006295,0.493123767138684,0.484770699112282,0.386157928165255,0.504545142706661,0.664841191770311,0.563620852652741
"Gv",0.401010034616129,0.244350372738117,0.781911239961834,0.642740960809939,0.569788928215404,0.295530504236954,0.535632805080394,0.53844717675965,0.589125784113155
"Gv",0.353113493023453,0.32337459085861,0.835163331327509,0.640639853317248,0.478705827303014,0.438093962529107,0.399259725068241,0.664544858798987,0.407986062967983
"Gv",0.4087006758818,0.246053749204148,0.798159674711959,0.318619525972292,0.466365178540067,0.219708090671414,0.459154773136739,0.558024396710575,0.51069426737714
"Gv",0.466980373196736,0.260292411072823,0.865473048294255,0.528725381625084,0.563301393050179,0.327193402413438,0.490368229008589,0.705380687453305,0.528573154920955
"Gv",0.161809148524143,0.35948574878007,0.820361794674833,0.540871409815797,0.487987966975394,0.279433965117264,0.35664816245378,0.398921995922386,0.404318634794478
"Gv",0.462409751479385,0.238428683350842,0.810109718204901,0.535914962861383,0.46702545679081,0.330205281262447,0.459413299358946,0.592584007188961,0.52786677429635
"Gv",0.448226136602481,0.358724468002634,0.840676691449404,0.601547675278351,0.545986648769698,0.421681126292501,0.499690765498087,0.601521193108841,0.579368044520109
"Gv",0.341914937419626,0.25015956881634,0.649207516007596,0.51563276927451,0.318325674525459,0.310414733264895,0.402137718629795,0.457976152919738,0.373198013256838
"Gv",0.356151729462927,0.346083760881112,0.745260458698137,0.483761578484023,0.368770577090967,0.313561758709928,0.486753044125478,0.419317013927336,0.506512828127735
"Gv",0.271542446641046,0.21545567146929,0.814997329986189,0.529265739227221,0.445759995950542,0.227373909337905,0.433682932176476,0.423514097258181,0.50411404570828
"Gv",0.329573685193768,0.357537761415598,0.877164945751639,0.603927789933158,0.382406096155854,0.37565890630539,0.457136553445141,0.526189383504499,0.437754198817836
"Gv",0.280430894678922,0.303772501494795,0.648624231085556,0.533130267506303,0.38507855596767,0.275117147896801,0.462687154556661,0.41643158220092,0.408039225883022
"Gv",0.18154950448802,0.230384903642398,0.717730037210732,0.58938275572651,0.464818051356213,0.173307541119398,0.488742620743242,0.302541893543497,0.509769596234389
"Gv",0.265529181427263,0.214807535037967,0.96153419646351,0.528686263464065,0.426317069087921,0.217790984940492,0.444836038176457,0.434614281510002,0.524528570104505
"Gv",0.214728313989792,0.269791222027996,0.70584155208945,0.506352996456972,0.456573097575202,0.319320650232327,0.297865362725944,0.410515269872811,0.410590206440426
"Gv",0.261962085695687,0.185781950913458,0.724618962520379,0.433686057998365,0.422735923390353,0.168516327548186,0.453213627782546,0.449767695446184,0.41364070272016
"Gv",0.269386381149848,0.289247550252672,0.794934065872877,0.503619749199833,0.42548656957235,0.298298092008329,0.387122347940854,0.443579621642202,0.456481814991219
"Gv",0.286597672446827,0.412833583102845,0.835727558823843,0.600393797461702,0.409224548834538,0.429216078306138,0.399619434753048,0.496483327672089,0.428181637178388
"Gv",0.360305616315235,0.62948000977389,0.979390201539125,0.682754551294338,0.516084893279654,0.563426458675701,0.511808877546343,0.659229888663421,0.487373299216056
"Gv",0.254302431257243,0,0.73976708133532,0.441332404920693,0.448077990796018,0,0.412409180222533,0.416067694383131,0.462063951709502
"Gv",0.65083042485154,0.416190684847861,0.974547029419953,0.441119137096485,0.592937264382419,0.461475984432133,0.525688281941805,0.718760531556735,0.724884324653586
"Gv",0.427636015558318,0.249559744916385,0.605586317188749,0.52761402249165,0.503834310186487,0.301403778646217,0.487410332948873,0.481018882763618,0.534806388213289
"Gv",0.148315327143431,0.274221245824029,0.956200592280371,0.63502463682927,0.464857080582704,0.312160809195766,0.279902489440887,0.545620441989145,0.299097210161459
"Gv",0.240346634639545,0.406891885477218,0.831760516060174,0.572695938489512,0.4346675098399,0.334758435547813,0.437282994904557,0.402780980113142,0.487072259481417
"Gv",0.3854173669265,0.361566242584733,0.771205707181472,0.649597219190335,0.37967245550449,0.412522772357003,0.488720940330497,0.579997697825294,0.402637419737463
"Gv",0.449792462315208,0.20497610206821,0.413082544762961,0.477213844852538,0.364350232612713,0.292549895616707,0.426009232522747,0.423401669431051,0.392307080053859
"Gv",0.354982218609911,0.234737374174516,0.665132218501274,0.484494666256633,0.37406460658136,0.257584061125122,0.456877294236925,0.392915178412517,0.504748839324277
"Gv",0.308633154220574,0.419220240768032,0.882249569101905,0.514817790900945,0.265310604728433,0.35857402061814,0.458261554361899,0.404593178869521,0.428720125552801
"Gv",0.269406896570407,0.463670456407022,0.768646308010814,0.475865079524848,0.50312310824802,0.411792618314658,0.369875946411391,0.545481371300071,0.40590688941015
"Gv",0.482388701977431,0.407587659792386,0.862807286457665,0.496147277019249,0.32538653054599,0.42434780580356,0.499379315990503,0.577089753630318,0.456979767052142
"Gv",0.347791079022367,0.266284702941527,0.83206530266428,0.599957347652626,0.306789974210147,0.300055842889881,0.485275017544757,0.454311374492876,0.438050719949813
"Gv",0.370739884867699,0.366776545691777,0.87339120763654,0.60227242580657,0.393526816679541,0.403097589683294,0.467841808639659,0.534403246376971,0.47384090759993
"Gv",0.333130479855894,0.32350639141507,0.842427670039838,0.685567312612535,0.512635534626009,0.350943443115962,0.501719629456207,0.504756094188573,0.543945718386955
"Gv",0.338338220180976,0.372993945919253,0.821558548372785,0.616191920753345,0.410858400961951,0.458543220807751,0.397312551271824,0.560801128147034,0.419738644100058
"Gv",0.384222157730882,0.346498208654643,0.800909395402771,0.535800036356235,0.423891264352019,0.363706196816756,0.4729044406049,0.555558547048737,0.462967325223758
"Gv",0.438829888878666,0.299409159025287,0.7955373113697,0.63989266131069,0.273073409550578,0.481371697323177,0.398686675967854,0.539700607358413,0.386667678110847
"Gv",0.446728797920418,0.228052068858424,0.895684368633445,0.550765301130972,0.545077164048695,0.296908021588759,0.49363706398212,0.566134018178221,0.640007951664267
"Gv",0.490184024579799,0.355546881848187,0.785580012371395,0.479392410785743,0.421968874104912,0.417426807216882,0.457844272000137,0.610349599243827,0.48787436590249
"Gv",0.40950775353526,0.281178428246559,0.685598599299829,0.437798273342927,0.426513726386946,0.384956912525768,0.354486738279125,0.461697974189578,0.526201489548104
"Gv",0.0887832460345522,0.473635698965584,0.798375257874787,0.46171689376233,0.535311281276786,0.445614669403177,0.162109324600784,0.579414747415885,0.194882770497597
"Gv",0.376037194290783,0.406898331100432,0.799423958456688,0.474439008839059,0.397918916796018,0.403614501738054,0.431152894672651,0.531972983661685,0.45636478205795
"Gv",0.372992722247989,0.294358929297616,0.861723256134651,0.460544246369487,0.500171893915527,0.290211071548903,0.471178334050206,0.463230260503652,0.638255719403384
"Gv",0.351979797034924,0.338913366533298,0.784236486182661,0.446210885839726,0.433217095094951,0.37833941096512,0.374009654877632,0.509810133713828,0.47610759945067
"Gv",0.40552193974427,0.343909117789832,0.835482963625858,0.500046305098783,0.48405460124789,0.369976073110942,0.457936443549245,0.521667064299614,0.574342278049151
"Gv",0.398936800313377,0.251051493499917,0.912362513354462,0.346716763483612,0.55549947198439,0.252747401588119,0.421121873908711,0.667199426519669,0.516314661891965
"Gv",0.369084526423685,0.339683646830772,0.847165098618066,0.553023336212208,0.516094455704615,0.371952859037091,0.453741033204269,0.5611988570513,0.528159724243728
"Gv",0.489955616122415,0.363164568201986,0.91978640844213,0.560035302366783,0.50273484239404,0.399727383752654,0.537716267418664,0.597028750044417,0.622481664602902
"Gv",0.423032831924953,0.361011708048026,0.732152441140262,0.369687799957329,0.534699515665804,0.331011980727283,0.44460731841335,0.518694141710107,0.581405198269949
"Gv",0.416123269767768,0.323461958921141,0.924437716857678,0.419660214196577,0.54526912308885,0.283129097322061,0.519969062149803,0.628455552311724,0.561736281881591
"Gv",0.341720756965886,0.385065181761702,0.769321633709844,0.636676885717647,0.309990839052829,0.444868573992418,0.430379326294077,0.521943283186667,0.360132345827582
"Gv",0.302128084929639,0.415323839382189,0.730511694801481,0.450114996514431,0.54208149758275,0.474637918979485,0.310150055009733,0.666227810161606,0.364445405292914
"Gv",0,0.387752211941048,0.92138337100577,0.71667107666007,0.543647872877736,0.475652804294538,0,0.740374365983398,0
"Gv",0.532812082966639,0.376897835455191,0.982369956811778,0.617366993427432,0.561198991388454,0.458820068525389,0.541898985627524,0.68905525056409,0.641293197349058
"Gv",0.27363610249907,0.242667927042453,0.855556785168867,0.626563942546373,0.402665997306633,0.380064008096738,0.315920183114254,0.657219611548913,0.315162314564788
"Gv",0.436710683067533,0.215808585224815,0.846051630352462,0.68153060717309,0.449581410211157,0.295646242057253,0.542491455701259,0.542740873086897,0.556767004211111
"Gv",0.393498517842389,0.398788412364822,0.679715118918873,0.476010206451535,0.431542929096279,0.370957664885629,0.478127344093076,0.496857286761095,0.477123741242189
"Gv",0.4336456427017,0.539301960133972,0.818873840783092,0.668773414932485,0.548378002454315,0.539281393978224,0.538288647778423,0.647604943469673,0.518773581161315
"Gv",0.178187979786713,0.14444323661568,0.831148875266609,0.392556871276841,0.47132410358119,0.107179968835229,0.436052224353725,0.34713881997011,0.488368976449454
"Gv",0.373589557370624,0.320628769174937,0.799190430786486,0.55619584008663,0.391798774804919,0.338378108572167,0.485677192955751,0.514823447391867,0.464601277449613
"Gv",0.205977166358635,0.293615575649702,0.684381614304282,0.354443602041706,0.439588253577309,0.333038364775373,0.231705286051054,0.472722832373838,0.331260064616459
"Gv",0.484339726355925,0.401449888053891,0.768692213509053,0.679955271247603,0.522338429215184,0.494271483370071,0.525060035852033,0.593138235297196,0.56590966916014
"Gv",0.279824245133683,0.321735506971956,0.858338812818136,0.64035083768491,0.456232433351686,0.427693935876519,0.348927434840736,0.485403505087422,0.471755809639005
"Gv",0.332181688246339,0.463450620934762,0.812289045900055,0.426976242953004,0.426935952866508,0.433682041208675,0.375563871069462,0.613686571996031,0.38579155943543
"Gv",0.269784435053128,0.247110183588751,0.766006674227851,0.39463369558776,0.420461585531425,0.277023142776653,0.319314333095687,0.496231255228887,0.39533602982795
"Gv",0.272459836686317,0.502289291234031,0.811074968069483,0.715645119296726,0.541945606140336,0.50183213408477,0.423393593815393,0.658714976271741,0.368848981808581
"Gv",0.384794355771746,0.282326023359157,0.952603578681963,0.496828603881479,0.472604377958153,0.315053093255916,0.453322264049983,0.58162650437394,0.534295569129757
"Gv",0.236913409029905,0.430121965093065,0.799768828177096,0.58093048017024,0.410819612344311,0.412524621692385,0.36820279132396,0.516486977865039,0.352975161944857
"Gv",0.282096974290472,0.271789624751325,0.706239940612297,0.488556449907315,0.388456495271017,0.255552290668298,0.438077475769214,0.41469037396969,0.437930076116814
"Gv",0.14555859149013,0.44821296288682,0.687757038866258,0.542381131695385,0.511647526764305,0.404451509469322,0.266492357912795,0.467406538888289,0.295076344444432
"Gv",0.419990539481909,0.301093100884097,0.83995626572711,0.528438575136211,0.478273152229126,0.362925556196922,0.453738536186671,0.550463239437792,0.55469357396178
"Gv",0.415756588989896,0.22378742734569,0.858013687169369,0.670598729095089,0.353551348912798,0.283674478098052,0.554546670882683,0.492786222374267,0.510346741695495
"Gv",0.415055355716054,0.305931367788473,0.730383688945134,0.600178294611458,0.412595414435103,0.327608439493396,0.548679157092967,0.501206620058242,0.499004188974589
"Gv",0.249736196763441,0.203243291799321,0.670889588348924,0.426417154621635,0.405806247618211,0.267768425925499,0.290042888939556,0.479650738400853,0.347303424551812
"Gv",0.379420790299308,0.276648642651439,0.878560396310635,0.541491862950998,0.440433973740654,0.349894586997709,0.422497209365309,0.580310187746223,0.479573868253068
"Gv",0.179788318294994,0.249065727793766,0.657603542587417,0.481452864183841,0.434512628818028,0.198993904247989,0.389265909290081,0.280251232643224,0.493103191811349
"Gv",0.470190217417301,0.406899261279796,0.85675859649234,0.415060318160086,0.389556781315571,0.397441556714987,0.464844676354745,0.586392037384952,0.496150943326933
"Gv",0.327045002167688,0.159275278689133,0.844368684321939,0.545189281553641,0.378768273570248,0.205619442225548,0.452693879562591,0.458566116427436,0.484105694558607
"Gv",0.443521568221343,0.369040810099,0.906094044628567,0.590659090728389,0.540296007912163,0.431683137000527,0.487961551810811,0.548369079387394,0.658779729313005
"Gv",0.239403146333159,0.198152435340425,0.781109567378918,0.502422803851409,0.374311963045686,0.203074881882782,0.407827209695984,0.410089854671011,0.414163021514487
"Gv",0.447613930288648,0.405546972608507,0.942978646742272,0.812440773441222,0.509541826082215,0.465473224011547,0.599693868924972,0.724013372006151,0.495804282439405
"Gv",0.344616325085309,0.325462465817264,0.606608962196157,0.480100620621011,0.440461271974858,0.338179429345041,0.421663001855126,0.429074908829169,0.475227772513878
"Gv",0.4931278455388,0.187311880832161,0.951869752611992,0.66352735926336,0.475366537691313,0.375729309430014,0.413727176965137,0.699609906988806,0.525841053718025
"Gv",0.380211044998853,0.446675571119622,0.8531847079717,0.59494181414443,0.455741830024711,0.407227286307896,0.532709872511445,0.447369010381294,0.624969119438513
"Gv",0.258129450852351,0.339336931619805,0.922184871582888,0.610455721075948,0.380859275264382,0.33302349496892,0.426193702797986,0.511778966956711,0.39433406132229
"Gv",0.203480557673161,0.306548399442606,0.711021834773618,0.602814194088646,0.4562132131249,0.274064624012087,0.409528358348133,0.372791697038664,0.438109744781608
"Gv",0.330769592542739,0.426759634504794,0.831729801094375,0.529736789032708,0.441035299761571,0.478289793587284,0.371097690570289,0.655615527861887,0.373827773106424
"Gv",0.348146896880558,0.304382550425113,0.834399302509808,0.48706192435333,0.423346879004469,0.283383768032999,0.489180725034699,0.47641988536596,0.519077258156571
"Gv",0.413952297511051,0.542377514651711,0.789853864372586,0.554479193905866,0.502880232218283,0.474608314589014,0.525318638551877,0.598985652031071,0.501061829415112
"Gv",0.367245187950565,0.416392052217472,0.777199998772524,0.515146321440449,0.43509726462122,0.455465333562349,0.403463363475291,0.574787139369283,0.433055072182372
"Gv",0.487529440141645,0.315648142129761,0.879832998549233,0.443082928796136,0.553365665376431,0.373826465976654,0.44646699156288,0.664945648627354,0.576531073287361
"Gv",0.426881562628224,0.315013587731593,0.919514184991325,0.504927900948773,0.464460539484839,0.374524479225021,0.444389539120568,0.636050139436654,0.505496806997615
"Gv",0.327976225549764,0.272730987085452,0.832325539462793,0.558012856560142,0.511687395271325,0.359061795905132,0.377553212523298,0.703301571316867,0.382782388334303
"Gv",0.240847171628038,0.373767122511468,0.928058810859655,0.546695761908544,0.471701251729909,0.435927122627384,0.308066881498932,0.610092600394635,0.365813976244857
"Gv",0,0.380281192229791,0.92413810008386,0.686966770501764,0.378990779142449,0.268145044866656,0,0.387868551068568,0
